Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NumLookingToFeed,NumFedCount,NumGestatingBegin,NumGestatingEnd,NumAttemptFeedIndoor,NumAttemptFeedOutdoor,NumAttemptButNotFeed,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,NumGestatingOnDay_0,NumGestatingOnDay_1,NumGestatingOnDay_2,NumGestatingOnDay_3,NumGestatingOnDay_4,NumGestatingOnDay_5,NumGestatingOnDay_6,NumGestatingOnDay_7,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,340461476,1000,8725,0,0,8725,9033,0,0,599800,2999,2695,6030,8725,2999,0,0,299900,2999,0,0,0,0,0,971,304,0,2998,3032,2695,0,0,0,0,0,20753.3,1,0,0,0
1,340461476,1000,7658,0,0,7658,8191,0,21175,544200,2721,2465,5193,7658,2721,0,0,272100,2721,0,0,0,0,0,811,256,0,2754,2439,2465,0,0,0,0,0,8162.33,0.0346003,0,0,0
2,340461476,1000,6672,0,0,6672,7398,0,27363,499000,2495,2232,4440,6672,2495,0,0,249500,2495,0,0,0,0,0,723,263,0,2204,2236,2232,0,0,0,0,0,9548.75,0.0149988,0,0,0
3,340461476,1000,5800,0,0,5800,6678,0,34345,398400,1992,1785,4015,5800,1992,0,0,199200,1992,0,0,0,0,0,665,207,0,2015,2000,1785,0,0,0,0,0,9250.3,0.0191358,0,0,0
4,340461476,1000,5074,0,0,5074,6005,0,40467,364200,1821,1640,3434,5074,1821,0,0,182100,1821,0,0,0,0,0,545,181,0,1808,1626,1640,0,0,0,0,0,9025.74,0.0232186,0,0,0
5,340461476,1000,10408,2873,0,7535,5446,0,45763,326400,8538,7446,2962,10408,8538,0,0,163200,8538,1726,0,0,7611,1218,1185,1092,0,1480,1482,7446,0,0,0,0,0,8933.55,0.0247824,1726,1704,22
6,340461476,1000,9287,2593,0,6694,4950,0,50409,268000,1340,1198,8089,9287,1340,0,0,134000,1340,0,0,0,0,0,979,142,0,1339,6750,1198,0,0,0,0,0,8879.29,0.0273699,0,0,0
7,340461476,1000,8243,2346,0,5897,4513,0,54425,239600,1198,1069,7174,8243,1198,0,0,119800,1198,0,0,0,0,0,915,129,0,6106,1068,1069,0,0,0,0,0,8914.97,0.0331317,0,0,0
8,340461476,1000,6739,1788,0,4951,4091,0,58102,1094800,5474,4814,1925,6739,5474,0,0,547400,5474,1045,0,0,0,0,844,660,0,961,964,4814,0,0,0,0,0,8813.1,0.0372077,1045,1045,0
9,340461476,1000,5965,1591,0,4374,3682,0,61356,175800,879,772,5193,5965,879,0,0,87900,879,0,0,0,0,0,667,107,0,872,4321,772,0,0,0,0,0,8713.73,0.00804996,0,0,0
10,340461476,1000,5278,1426,0,3852,3318,0,64111,156600,783,707,4571,5278,783,0,0,78300,783,0,0,0,0,0,611,76,0,3884,687,707,0,0,0,0,0,8742.33,0.0495662,0,0,0
11,340461476,1000,4368,1082,0,3286,3006,0,66940,705400,3527,3108,1260,4368,3527,0,0,352700,3527,651,0,0,0,0,491,419,0,619,641,3108,0,0,0,0,0,8369.52,0.0558259,651,679,-28
12,340461476,1000,3898,974,0,2924,2705,7066,61991,109400,547,494,3404,3898,547,0,0,54700,547,0,0,0,0,0,417,53,0,575,2829,494,0,0,0,0,0,15485.8,0.0118649,0,0,0
13,340461476,1000,3485,882,0,2603,2438,9134,68791,103800,519,470,3015,3485,519,0,0,51900,519,0,0,0,0,0,364,49,0,2564,451,470,0,0,0,0,0,10598.2,0.141552,0,0,0
14,340461476,1000,2916,699,0,2217,2195,11416,69558,463000,2315,2074,842,2916,2315,0,0,231500,2315,417,0,0,0,0,328,241,0,429,413,2074,0,0,0,0,0,11518.7,0.102102,417,396,21
15,340461476,1000,2620,645,0,1975,1983,13360,71432,77400,387,341,2279,2620,387,0,0,38700,387,0,0,0,0,0,250,46,0,374,1905,341,0,0,0,0,0,11133.7,0.0248784,0,0,0
16,340461476,1000,4681,579,0,4102,4187,10358,72680,67000,335,307,2024,2331,335,0,0,33500,335,0,0,0,2350,0,261,28,0,1712,312,307,0,0,0,0,0,11199.5,0.143846,0,0,0
17,340461476,1000,4763,434,0,4329,4684,10507,73928,308000,3651,3255,558,3813,3651,0,0,154000,3651,267,0,0,950,0,472,396,0,290,268,3255,0,0,0,0,0,11110.9,0.167157,267,249,18
18,340461476,1000,5280,384,0,4896,5268,10311,75204,55400,1139,1020,3193,4213,1139,0,0,27700,1139,0,0,0,1067,0,431,119,0,245,2948,1020,0,0,0,0,0,10857.8,0.0360742,0,0,0
19,340461476,1000,5712,345,0,5367,5741,10280,75726,44800,1191,1080,3585,4665,1191,0,0,22400,1191,0,0,0,1047,0,504,111,0,2665,920,1080,0,0,0,0,0,11238.5,0.19599,0,0,0
20,340461476,1000,5782,262,0,5520,6234,10321,77015,483600,3363,2982,1807,4789,3363,0,0,241800,3363,158,0,0,993,0,542,381,0,830,977,2982,0,0,0,0,0,10746,0.250859,158,174,-16
21,340461476,1000,6069,229,0,5840,6608,10182,77621,153400,1663,1495,3575,5070,1663,0,0,76700,1663,0,0,0,999,0,544,168,0,899,2676,1495,0,0,0,0,0,10842.8,0.0222208,0,0,0
22,340461476,1000,6282,199,0,6083,7024,10135,77996,164000,1714,1520,3783,5303,1714,0,0,82000,1714,0,0,0,979,0,572,194,0,2422,1361,1520,0,0,0,0,0,11087.9,0.070683,0,0,0
23,340461476,1000,6366,154,0,6212,7410,9932,78952,438600,3072,2773,2605,5378,3072,0,0,219300,3072,94,0,0,988,0,605,299,0,1228,1377,2773,0,0,0,0,0,10679.1,0.0676092,94,90,4
24,340461476,1000,6567,142,0,6425,7694,12166,77164,225200,2030,1843,3736,5579,2030,0,0,112600,2030,0,0,0,988,0,600,187,0,1244,2492,1843,0,0,0,0,0,12950,0.0243482,0,0,0
25,340461476,1000,6715,126,0,6589,7889,12691,79081,226800,2041,1843,3897,5740,2041,0,0,113400,2041,0,0,0,975,0,629,198,0,2228,1669,1843,0,0,0,0,0,11459,0.0575042,0,0,0
26,340461476,1000,6817,95,64,6658,8107,13405,79096,407400,2920,2625,3213,5838,2920,0,0,203700,2920,60,0,0,979,0,582,295,0,1511,1702,2625,0,0,0,0,0,11819.9,0.0505247,60,53,7
27,340461476,1000,6843,88,127,6628,8298,14010,79666,268600,2225,1980,3940,5920,2225,0,0,134300,2225,0,0,0,923,0,652,245,0,1553,2387,1980,0,0,0,0,0,11581.7,0.0290131,0,0,0
28,340461476,1000,7708,82,165,7461,9174,12926,79890,279800,2236,2009,3977,5986,2236,0,0,139900,2236,0,0,0,1722,0,630,227,0,2177,1800,2009,0,0,0,0,0,11650.4,0.0431186,0,0,0
29,340461476,1000,7788,63,207,7518,9591,13077,80211,394720,3555,3192,3472,6664,3555,0,0,197360,3555,44,0,0,1124,0,681,363,0,1650,1822,3192,0,0,0,0,0,11587.6,0.0416382,44,48,-4
30,340461476,1000,8109,56,235,7818,9977,12863,80834,298480,2493,2256,4559,6815,2493,0,0,149240,2493,0,0,0,1294,0,736,237,0,1667,2892,2256,0,0,0,0,0,11192.5,0.0293566,0,0,0
31,340461476,1000,8348,50,274,8024,10353,12835,80674,303040,2683,2419,4682,7101,2683,0,0,151520,2683,0,0,0,1247,0,744,264,0,2616,2066,2419,0,0,0,0,0,11553.6,0.0374985,0,0,0
32,340461476,1000,8502,39,684,7779,10581,12674,80825,472200,3507,3157,4069,7226,3507,0,0,236100,3507,28,0,0,1276,0,772,350,0,1877,2192,3157,0,0,0,0,0,11580.1,0.0381258,28,35,-7
33,340461476,1000,8599,36,1009,7554,10808,12440,81260,337440,2849,2572,4813,7385,2849,0,0,168720,2849,0,0,0,1214,0,840,277,0,1971,2842,2572,0,0,0,0,0,11301.6,0.0245237,0,0,0
34,340461476,1000,8701,54,1285,7362,11003,12515,81093,357600,2895,2593,4893,7486,2895,0,0,178800,2895,0,0,0,1215,0,811,302,0,2578,2315,2593,0,0,0,0,0,11606.8,0.0334923,0,0,0
35,340461476,1000,8758,65,1624,7069,11250,12386,81348,450040,3415,3050,4475,7525,3415,0,0,225020,3415,24,0,0,1233,0,811,365,0,2101,2374,3050,0,0,0,0,0,11473.7,0.0324575,24,25,-1
36,340461476,1000,8789,76,1855,6858,11430,13090,80904,363680,2993,2682,4927,7609,2993,0,0,181840,2993,11,0,0,1180,0,838,311,0,2148,2779,2682,0,0,0,0,0,12025.3,0.0254949,11,12,-1
37,340461476,1000,8855,93,2049,6713,11378,13343,81391,374800,3006,2722,4933,7655,3006,0,0,187400,3006,9,0,0,1200,0,850,284,0,2523,2410,2722,0,0,0,0,0,11633.2,0.0330656,9,6,3
38,340461476,1000,9049,101,2274,6674,11493,13511,81482,437040,3402,3078,4671,7749,3402,0,0,218520,3402,29,0,0,1300,0,782,324,0,2194,2477,3078,0,0,0,0,0,11626,0.0310384,29,25,4
39,340461476,1000,9081,100,2438,6543,11530,13630,81760,378680,3167,2831,5024,7855,3167,0,0,189340,3167,17,0,0,1226,0,858,336,0,2246,2778,2831,0,0,0,0,0,11421.9,0.0266016,17,18,-1
40,340461476,1000,9322,253,2443,6626,11845,13305,81522,384440,3145,2810,5089,7899,3145,0,0,192220,3145,13,0,0,1423,0,847,335,0,2542,2547,2810,0,0,0,0,0,11725.1,0.0301623,13,9,4
41,340461476,1000,9366,367,2485,6514,12029,13407,81465,436320,3596,3245,4847,8092,3596,0,0,218160,3596,102,0,0,1274,0,879,351,0,2296,2551,3245,0,0,0,0,0,11839.6,0.0304991,102,114,-12
42,340461476,1000,9486,452,2508,6526,12202,13298,81443,388120,3199,2885,5252,8137,3199,0,0,194060,3199,81,0,0,1349,0,915,314,0,2316,2936,2885,0,0,0,0,0,11912.4,0.0271352,81,104,-23
43,340461476,1000,9479,575,2472,6432,12320,13211,81860,395120,3268,2958,5250,8208,3268,0,0,197560,3268,81,0,0,1271,0,968,310,0,2634,2616,2958,0,0,0,0,0,11540.2,0.0306925,81,97,-16
44,340461476,1000,9575,625,2498,6452,12407,13244,81668,452600,3518,3155,5087,8242,3518,0,0,226300,3518,153,0,0,1333,0,874,363,0,2394,2693,3155,0,0,0,0,0,11771.7,0.0292068,153,154,-1
45,340461476,1000,9704,685,2515,6504,12458,13142,81678,408240,3355,3026,5310,8336,3355,0,0,204120,3355,128,0,0,1368,0,910,329,0,2440,2870,3026,0,0,0,0,0,11796.6,0.0260091,128,138,-10
46,340461476,1000,9700,779,2533,6388,12521,13109,81779,418360,3426,3083,5346,8429,3426,0,0,209180,3426,123,0,0,1271,0,932,343,0,2603,2743,3083,0,0,0,0,0,11726.4,0.0288963,123,122,1
47,340461476,1000,9643,822,2468,6353,12578,13237,81824,449000,3511,3126,5269,8395,3511,0,0,224500,3511,174,0,0,1248,0,920,385,0,2497,2772,3126,0,0,0,0,0,11708.5,0.0280294,174,171,3
48,340461476,1000,9594,860,2460,6274,12728,13440,81950,422280,3355,2995,5349,8344,3355,0,0,211140,3355,175,0,0,1250,0,939,360,0,2529,2820,2995,0,0,0,0,0,11606.5,0.0260769,175,170,5
49,340461476,1000,9628,932,2423,6273,12760,13650,81718,434080,3430,3064,5261,8325,3430,0,0,217040,3430,133,0,0,1303,0,903,366,0,2562,2699,3064,0,0,0,0,0,11859.7,0.0274853,133,150,-17
50,340461476,1000,9642,958,2453,6231,12849,13662,81952,443160,3502,3142,5243,8385,3502,0,0,221580,3502,182,0,0,1257,0,883,360,0,2445,2798,3142,0,0,0,0,0,11644.3,0.0273214,182,170,12
51,340461476,1000,9633,982,2383,6268,12942,13525,81956,418160,3330,2968,5401,8369,3330,0,0,209080,3330,191,0,0,1264,0,911,362,0,2544,2857,2968,0,0,0,0,0,11656.8,0.0262756,191,183,8
52,340461476,1000,9792,998,2378,6416,12988,13386,81811,437200,3457,3126,5262,8388,3457,0,0,218600,3457,182,0,0,1404,0,914,331,0,2572,2690,3126,0,0,0,0,0,11816.3,0.0278763,182,189,-7
53,340461476,1000,9763,1020,2366,6377,13109,13306,82042,446520,3609,3216,5213,8429,3609,0,0,223260,3609,202,0,0,1334,0,970,393,0,2389,2824,3216,0,0,0,0,0,11598.1,0.0270272,202,201,1
54,340461476,1000,9790,1053,2331,6406,13225,13273,81828,414600,3369,2993,5464,8457,3369,0,0,207300,3369,197,0,0,1333,0,930,376,0,2548,2916,2993,0,0,0,0,0,11823.4,0.0259745,197,188,9
55,340461476,1000,9716,1065,2349,6302,13185,13433,81892,439400,3501,3124,5335,8459,3501,0,0,219700,3501,209,0,0,1257,0,954,377,0,2624,2711,3124,0,0,0,0,0,11769.4,0.0285177,209,182,27
56,340461476,1000,9658,1023,2363,6272,13283,13341,81945,453640,3512,3132,5241,8373,3512,0,0,226820,3512,184,0,0,1285,0,963,380,0,2435,2806,3132,0,0,0,0,0,11725.2,0.0267852,184,168,16
57,340461476,1000,9690,1034,2364,6292,13196,13431,81999,421920,3383,3035,5356,8391,3383,0,0,210960,3383,187,0,0,1299,0,919,348,0,2528,2828,3035,0,0,0,0,0,11679,0.025847,187,186,1
58,340461476,1000,9791,1033,2338,6420,13227,13539,81863,433440,3447,3102,5299,8401,3447,0,0,216720,3447,199,0,0,1390,0,944,345,0,2558,2741,3102,0,0,0,0,0,11821.9,0.0276806,199,197,2
59,340461476,1000,9804,1036,2376,6392,13220,13673,81991,444680,3590,3224,5288,8512,3590,0,0,222340,3590,198,0,0,1292,0,913,366,0,2455,2833,3224,0,0,0,0,0,11699.9,0.0272745,198,165,33
60,340461476,1000,9891,1046,2327,6518,13216,13576,82041,423520,3391,3034,5479,8513,3391,0,0,211760,3391,194,0,0,1378,0,934,357,0,2553,2926,3034,0,0,0,0,0,11655.2,0.0263108,194,201,-7
61,340461476,1000,9853,1062,2345,6446,13294,13517,82141,440200,3549,3168,5407,8575,3549,0,0,220100,3549,199,0,0,1278,0,935,381,0,2659,2748,3168,0,0,0,0,0,11560,0.0275199,199,206,-7
62,340461476,1000,9869,1010,2394,6465,13368,13408,81638,457240,3557,3169,5369,8538,3557,0,0,228620,3557,197,0,0,1331,0,927,388,0,2494,2875,3169,0,0,0,0,0,12067.1,0.0262607,197,201,-4
63,340461476,1000,9888,1020,2382,6486,13381,13306,82247,434000,3482,3119,5451,8570,3482,0,0,217000,3482,180,0,0,1318,0,936,363,0,2599,2852,3119,0,0,0,0,0,11461.8,0.0263912,180,159,21
64,340461476,1000,9791,1017,2385,6389,13370,13443,81990,447240,3540,3119,5402,8521,3540,0,0,223620,3540,194,0,0,1270,0,946,421,0,2579,2823,3119,0,0,0,0,0,11722,0.0264096,194,203,-9
65,340461476,1000,9720,1017,2385,6318,13464,13371,82105,443080,3462,3106,5403,8509,3462,0,0,221540,3462,177,0,0,1211,0,926,356,0,2567,2836,3106,0,0,0,0,0,11609.9,0.0262097,177,170,7
66,340461476,1000,9739,1015,2409,6315,13521,13461,82183,444080,3431,3048,5415,8463,3431,0,0,222040,3431,185,0,0,1276,0,874,383,0,2579,2836,3048,0,0,0,0,0,11534.4,0.0262027,185,183,2
67,340461476,1000,9720,1037,2382,6301,13437,13571,82050,444160,3458,3101,5306,8407,3458,0,0,222080,3458,182,0,0,1313,0,975,357,0,2549,2757,3101,0,0,0,0,0,11669.6,0.0259737,182,191,-9
68,340461476,1000,9767,1051,2395,6321,13417,13622,82032,439200,3496,3159,5322,8481,3496,0,0,219600,3496,192,0,0,1286,0,902,337,0,2501,2821,3159,0,0,0,0,0,11689.6,0.0262735,192,220,-28
69,340461476,1000,9710,1039,2384,6287,13367,13518,82155,434520,3438,3071,5380,8451,3438,0,0,217260,3438,188,0,0,1259,0,949,367,0,2524,2856,3071,0,0,0,0,0,11568.3,0.0266156,188,174,14
70,340461476,1000,9774,1060,2389,6325,13451,13493,82014,432080,3415,3036,5394,8430,3415,0,0,216040,3415,185,0,0,1344,0,901,379,0,2588,2806,3036,0,0,0,0,0,11710.8,0.0266232,185,214,-29
71,340461476,1000,9709,1072,2383,6254,13508,13532,81835,445480,3531,3135,5272,8407,3531,0,0,222740,3531,206,0,0,1302,0,971,396,0,2515,2757,3135,0,0,0,0,0,11891.2,0.0271034,206,214,-8
72,340461476,1000,9585,1039,2374,6172,13586,13508,81857,434440,3429,3044,5289,8333,3429,0,0,217220,3429,192,0,0,1252,0,991,385,0,2490,2799,3044,0,0,0,0,0,11870.4,0.026693,192,214,-22
73,340461476,1000,9531,1060,2330,6141,13630,13410,82160,428640,3392,3020,5284,8304,3392,0,0,214320,3392,188,0,0,1227,0,909,372,0,2540,2744,3020,0,0,0,0,0,11568.4,0.0273234,188,171,17
